concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_v2_no_stopwords,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords
Elizabeth II is the Queen of the other Commonwealth realms.,Elizabeth II,0.98880138558536,0.002777339010907,1.0,0.98880138558536,-2.4812011611224576,0.3968920835254558,1.175095726371236e-05,-11.35157585144043,0.44489791990474437,-0.8099104166030884,11.955616418227677,0.12222257684299175,10.813242458638284,2.077921684290935,-27.293212772347033,-8.229213280837346,-3.6207954119225696,0.2558082524348643,1.175095726371236e-05,-11.35157585144043,0.07169447121748677,-2.6353416442871094,37.367278383159885,0.11211332802534588,13.37128612059819,1.070533856941562,-25.34556788345799,-9.579724208190793,11.955616418227676,37.367278383159885,0.08364269687302679,0.481250091165605,0.026761381702625278,0.9341133804557363,1.5961259827206418,5.293751002821655,11.0,2.471431701023741,6.538793663190154,7.0
"Elizabeth II has been on the throne since February 6, 1952.",Elizabeth II,0.9985044703207347,0.0,1.0,0.9985044703207347,-1.3462620017380686,0.5526974927671477,0.0010819632525301641,-6.828978061676025,0.6470846654057854,-0.4859243854880333,3.8430333964121655,0.17131646984612528,3.204827721911008,2.163225801128251,-21.5401920278091,-5.385048006952275,-1.3847686220542528,0.6045677730797065,0.0010819632525301641,-6.828978061676025,0.8540860387752758,-0.15774938464164734,3.99390169712992,0.17754064386108656,4.091205539781665,1.2081400827581523,-16.617223464651033,-4.79697922025022,3.8430333964121655,3.99390169712992,0.2602111136826431,0.46227259284649824,0.250381725899417,0.8277185851801441,1.849090371385993,7.396361485543972,16.0,2.867301287802074,9.93262302216173,12.0
Elizabeth II is the longest-reigning British monarch in history.,Elizabeth II,0.9992947271219148,0.0,1.0,0.9992947271219148,-0.7535265775936401,0.6368413592327785,0.06269080152007415,-2.769540548324585,0.74526398694962,-0.2940167784690857,2.1244789612250985,0.12381730824844459,0.8886642419319458,2.1552344114800057,-9.79584550871732,-2.7168787129387635,-0.719797593369367,0.6918880072338419,0.06269080152007415,-2.769540548324585,0.8808839908584287,-0.13204896170645952,2.054017421820488,0.14069787113832002,1.099784129683584,1.1673671636369856,-7.1979759336936695,-2.2761998493549123,2.1244789612250985,2.054017421820488,0.4707036493424918,0.4639866525299664,0.48685078781546753,0.856628515131824,1.6729276668276871,6.031826482889563,13.0,2.7088972164645777,8.56628515131824,10.0
"Elizabeth Alexandra Mary Windsor was born on April 21, 1926.",Elizabeth II,0.999462481744726,0.0,1.0,0.999462481744726,-1.4804964905934563,0.7170836613002115,4.4770723122563263e-07,-14.619126319885254,0.945981257495109,-0.05553252249956131,4.395127278653461,0.14947451347457635,13.200038523908793,1.2436388885140448,-22.207447358901845,-5.733938252186982,-1.5765930570039648,0.7489798504986658,4.4770723122563263e-07,-14.619126319885254,0.9727805856537775,-0.027596725150942802,4.838443397937684,0.15264005335012706,15.10205844366757,0.7213117972518088,-20.49570974105154,-5.684487107568315,4.395127278653461,4.838443397937684,0.22752469646484752,0.8040919347535398,0.20667804038510307,1.3863630177823107,3.1142346721201606,12.061379021303095,15.0,4.998602947021116,18.02271923117004,13.0
Elizabeth Alexandra Mary Windsor was born in London.,Elizabeth II,0.9991843899908076,0.0,1.0,0.9991843899908076,-2.8908612412115975,0.38879966943045585,4.4771491669557575e-07,-14.619109153747559,0.22815231210827316,-1.4777418375015259,18.00881285637491,0.15091316078733644,18.59316346731393,1.4585135204035902,-26.017751170904376,-8.672583723634792,-3.236737670460051,0.44555545804556196,4.4771491669557575e-07,-14.619109153747559,0.2716539265244741,-1.303226351737976,25.450558060064957,0.17912319289932926,23.355436539228247,0.8348760886895512,-22.657163693220355,-8.563602935191827,18.00881285637491,25.45055806006496,0.055528368692332304,0.6856295714854166,0.03929186926431773,1.1977825374896443,2.05688871445625,6.1706661433687495,9.0,3.169034718933499,8.38447776242751,7.0
Elizabeth Alexandra Mary Windsor was born in England.,Elizabeth II,0.9994745075795314,0.0,1.0,0.9994745075795314,-3.1719328643779994,0.36155422675384613,4.4771491669557575e-07,-14.619109153747559,0.15215650644689593,-1.8828456401824951,23.853545495498217,0.1632614473161978,18.37793744710275,1.195760186200973,-28.547395779401995,-9.515798593133999,-3.5981154716739963,0.41052560317563513,4.4771491669557575e-07,-14.619109153747559,0.06269096593345978,-2.769537925720215,36.52932898172742,0.19870316854063083,22.799712373351518,0.5721227544869343,-25.186808301717974,-9.519718726543264,23.853545495498217,36.52932898172742,0.04192248905676206,0.8362880881467387,0.027375263326085645,1.747876643879993,2.508864264440216,7.526592793320648,9.0,4.624446922124669,12.235136507159952,7.0
Elizabeth II was the first child of Prince Albert.,Elizabeth II,0.9996857981117554,0.0,1.0,0.9996857981117554,-2.56505589238368,0.3602413720532888,0.00034237032137776423,-7.979617595672607,0.14655164463301942,-2.118711829185486,13.001385027763463,0.16066848196184,6.539933223210535,1.3300410732543848,-25.650558923836797,-8.111418945568177,-3.0240702647050575,0.34615482462210007,0.00034237032137776423,-7.979617595672607,0.06269089120004923,-2.7695391178131104,20.57486663620231,0.172899806195993,8.08424994468326,0.7323179513202673,-21.168491852935404,-8.00093786759485,13.001385027763463,20.57486663620231,0.07691488236557693,0.7518564803064086,0.04860298818367355,1.3655270886056243,2.3775789513257832,7.518564803064086,10.0,3.612845084972544,9.55868962023937,7.0
Prince Albert was the Duke of York.,Elizabeth II,0.0003262906530631,0.9726587964318444,0.0,0.9726587964318444,-3.1992210216340027,0.25535212074086006,0.00045049568989612333,-7.705162048339844,0.06331884497391244,-2.904902219772339,24.51342732814943,0.11608612665997524,6.504649552690395,1.0860892364677068,-25.59376817307202,-9.048763515647831,-4.4185559272766115,0.1261915501157683,0.00045049568989612333,-7.705162048339844,0.01300592825171009,-4.342350006103516,82.97637487980643,0.05243274666389791,5.88938980754725,0.4974631874557508,-22.092779636383057,-9.88019141577512,24.51342732814943,82.97637487980643,0.04079396922402903,0.9207346564379044,0.012051623145124472,2.0101989960592803,2.6042308769628333,7.365877251503235,8.0,4.494941603490383,10.050994980296402,5.0
Prince Albert later became King George VI.,Elizabeth II,0.9984934154396888,0.0010317408064588,1.0,0.9984934154396888,-3.6562003856524825,0.2663887109221797,1.4165711407945017e-05,-11.16468620300293,0.1972061675209657,-2.039703607559204,38.71396492238817,0.09458832886054605,13.499502305931603,1.356564735753581,-29.24960308521986,-10.341296344286961,-3.6562003856524825,0.2663887109221797,1.4165711407945017e-05,-11.16468620300293,0.1972061675209657,-2.039703607559204,38.71396492238817,0.09458832886054605,13.499502305931603,1.356564735753581,-29.24960308521986,-10.341296344286961,38.71396492238817,38.71396492238817,0.025830472337430438,0.7371561221105258,0.025830472337430438,0.7371561221105258,2.084992370950126,5.897248976884207,8.0,2.084992370950126,5.897248976884207,8.0
Elizabeth II's mother was Elizabeth Bowes-Lyon.,Elizabeth II,0.9993946074640536,0.0,1.0,0.9993946074640536,-1.6980863992344397,0.47676186145451,0.008328017831523907,-4.788129806518555,0.5221890996838949,-0.6497254967689514,5.463482457853923,0.18521356995876756,2.9717758608200238,1.291385358393734,-18.678950391578837,-5.631915447866279,-1.807910051183717,0.4695486445976654,0.008328017831523907,-4.788129806518555,0.2939346550205566,-1.686341553926468,6.097690245429881,0.20316259148298177,3.1362798670997902,0.9621313404935437,-18.07910051183717,-5.717113566452139,5.463482457853923,6.097690245429881,0.18303344207913938,0.774362194445066,0.16399652323262626,1.0393591372743671,2.5682688508105147,8.517984138895727,11.0,3.2867421806946115,10.393591372743673,10.0
